2to3	python2-basic
dlt-system	software-defined-cockpit-dev
dlt-test-client	software-defined-cockpit-dev
dlt-test-filetransfer	software-defined-cockpit-dev
dlt-test-fork-handler	software-defined-cockpit-dev
dlt-test-init-free	software-defined-cockpit-dev
dlt-test-multi-process	software-defined-cockpit-dev
dlt-test-multi-process-client	software-defined-cockpit-dev
dlt-test-stress	software-defined-cockpit-dev
dlt-test-stress-client	software-defined-cockpit-dev
dlt-test-stress-user	software-defined-cockpit-dev
dlt-test-user	software-defined-cockpit-dev
dm-tool	lightdm
dmap2gcode	maker-cnc
dmcs	mono
dmenu	desktop-i3
dmenu_path	desktop-i3
dmenu_run	desktop-i3
dmesg	os-core
dmeventd	boot-encrypted
dmidecode	sysadmin-basic
dmsetup	boot-encrypted
dmstats	boot-encrypted
dmypy	python-extras
dnf	dnf
dnf-3	dnf
dnf-automatic-3	dnf
dnsbulktest	pdns
dnsdomainname	os-cloudguest-azure
dnsgram	pdns
dnsmasq	dhcp-server
dnsreplay	pdns
dnsscan	pdns
dnsscope	pdns
dnssec-cds	network-basic
dnssec-dsfromkey	network-basic
dnssec-importkey	network-basic
dnssec-keyfromlabel	network-basic
dnssec-keygen	network-basic
dnssec-revoke	network-basic
dnssec-settime	network-basic
dnssec-signzone	network-basic
dnssec-verify	network-basic
dnstcpbench	pdns
dnswasher	pdns
doc_loadbios	mtd-utils
docbook2dvi	docbook-utils
docbook2html	docbook-utils
docbook2man	docbook-utils
docbook2pdf	docbook-utils
docbook2ps	docbook-utils
docbook2rtf	docbook-utils
docbook2tex	docbook-utils
docbook2texi	docbook-utils
docbook2txt	docbook-utils
docfdisk	mtd-utils
docker	cloud-control
docker-compose	docker-compose
docker-containerd	cloud-control
docker-containerd-ctr	cloud-control
docker-containerd-shim	cloud-control
docker-proxy	cloud-control
docker-runc	cloud-control
docker-set-default-runtime	cloud-control
dockerd	cloud-control
docstheme-build-translated.sh	openstack-common
docstheme-lang-display-name.py	openstack-common
dolphin	dolphin
domainname	os-cloudguest-azure
dos2unix	sysadmin-basic
dosepsbin	texlive
dosfsck	dosfstools
dosfslabel	dosfstools
dot	graphviz
dot2gxl	graphviz
dot_builtins	desktop-apps
dotty	graphviz
doveadm	dovecot
doveconf	dovecot
dovecot	dovecot
doxygen	doxygen
dpdk-devbind	network-basic
dpdk-pdump	network-basic
dpdk-pmdinfo	network-basic
dpdk-procinfo	network-basic
dprof2calltree	desktop-kde-apps
dracut	sysadmin-basic
dracut-catimages	sysadmin-basic
dragon	desktop-kde-apps
draw_lib_dependencies	desktop-kde-apps
driverless	hardware-printing
dropdb	postgresql
droplang	postgresql
dropuser	postgresql
dstat	performance-tools
dsymutil	llvm
dsync	dovecot
dt2dv	texlive
dtagnames	dev-utils
dtc	dtc
dtd2rng	mono
dtd2xsd	mono
dtdiff	dtc
dtest	hpc-utils
dtestcm	hpc-utils
dtestsrq	hpc-utils
